informal work in eng,Profession in Amharic,professional/ formal,sector,sub sector
Technical Director - Integrated Health Systems Strengthening (I-HSS) Project,ቴክኒክ ዳይሬክተር - የተቀናጀ የጤና ስርዓት ማጠናከሪያ (I-HSS) ፕሮጀክት,P,Health,Health
Technical Director of Strategic Information Project,የስትራቴጂክ መረጃ ፕሮጀክት ቴክኒካል ዳይሬክተር,P,ICT and digital work,Software Design Development and Implementation Works
"Technical Director, Community Engagement","የቴክኒክ ዳይሬክተር, የማህበረሰብ ተሳትፎ",P,Service,Social work services
"Technical Director, Ethiopia - USAID/Ethiopia Empowered Communities Activity (ECA)",ቴክኒካል ዳይሬክተር ኢትዮጵያ - USAID/ኢትዮጵያ ኢምፓወርድ ማህበረሰቦች እንቅስቃሴ (ኢሲኤ),P,Service,Social work services
Technical Drawing Expert,የቴክኒክ ስዕል ባለሙያ,P,Economic Infrastructure,Surveying & Drafting
Technical drawing teacher,የቴክኒክ ስዕል መምህር,P,Education,other
Technical Head Veterinary Medicine and Equipment,የቴክኒክ ኃላፊ የእንስሳት ሕክምና እና መሳሪያዎች,P,Service,Veterinary works
Technical IT supervisor,የቴክኒክ IT ሱፐርቫይዘር,P,ICT and digital work,Computer network design deployment and implementation tasks
Technical IT Support,ቴክኒካዊ የአይቲ ድጋፍ,P,ICT and digital work,Computer network design deployment and implementation tasks
Technical Lead -Women’s voice and local ownership (WVLO) Project,የቴክኒክ አመራር -የሴቶች ድምጽ እና የአካባቢ ባለቤትነት (WVLO) ፕሮጀክት,P,Service,Social work services
Technical Maintenance Head,የቴክኒክ ጥገና ኃላፊ,P,Service,General maintenance
Technical manager,የቴክኒክ አስተዳዳሪ,P,Service,Other services
Technical Manager for Import,የማስመጣት ቴክኒካል አስተዳዳሪ,P,Business,Wholesale business in specialized stores
Technical Manager Mechanical,የቴክኒክ አስተዳዳሪ መካኒካል,P,Manufacturing,Manufacture of General Mechanical Engineering Products for Metal Painting works
"Technical Manager, Mobile Money Service","የቴክኒክ አስተዳዳሪ, የሞባይል ገንዘብ አገልግሎት",P,Service,Finance and Administration Services
technical officer,የቴክኒክ መኮንን,P,Service,Other services
Technical Recruiter,ቴክኒካል መልማይ,P,Service,Employment agencies and recruitment agencies
Technical Requirement Analyst,የቴክኒክ መስፈርቶች ተንታኝ,P,ICT and digital work,Software Design Development and Implementation Works
Technical Researcher and Content Creator,የቴክኒክ ተመራማሪ እና የይዘት ፈጣሪ,P,Service,Research and experimental development work in engineering and technology
Technical Sales Veterinary Drugs,ቴክኒካል ሽያጭ የእንስሳት ህክምና መድሃኒቶች,P,Business,Wholesale of chemical and chemical products
Technical Site Reporter,የቴክኒክ ጣቢያ ሪፖርተር,P,Construction,Building Construction Contractor
"Technical Specialist - Gender, HPs and Youth","የቴክኒክ ስፔሻሊስት - ፆታ, HPs እና ወጣቶች",P,Service,Social work services
Technical supervisor,የቴክኒክ ተቆጣጣሪ,P,Service,Other services
Technical Support Specialist,የቴክኒክ ድጋፍ ስፔሻሊስት,P,Service,Other services
Technical Team Leader,የቴክኒክ ቡድን መሪ,P,Service,Other services
"Technician, Computer Laboratory","ቴክኒሻን, የኮምፒውተር ላቦራቶሪ",P,ICT and digital work,Computer network design deployment and implementation tasks
Technological Development Lead,የቴክኖሎጂ እድገት መሪ,P,ICT and digital work,Software Design Development and Implementation Works
Technology & Cyber Risk Analyst,የቴክኖሎጂ እና የሳይበር አደጋ ተንታኝ,P,ICT and digital work,Software Design Development and Implementation Works
Technology Marketer,ቴክኖሎጂ ገበያተኛ,P,Business,"Wholesale of Telecommunication Equipment Computer, Computer Accessories, Accessories and Equipment"
Technology Officer,የቴክኖሎጂ ኦፊሰር,P,ICT and digital work,Software Design Development and Implementation Works
Technology Project Officer-II,የቴክኖሎጂ ፕሮጀክት ኦፊሰር-II,P,ICT and digital work,Software Design Development and Implementation Works
Technology sales,የቴክኖሎጂ ሽያጭ,P,Business,"Wholesale of Telecommunication Equipment Computer, Computer Accessories, Accessories and Equipment"
Technology Sales and Account officer,የቴክኖሎጂ ሽያጭ እና የሂሳብ ኦፊሰር,P,Business,"Wholesale of Telecommunication Equipment Computer, Computer Accessories, Accessories and Equipment"
TECHNOLOGY WRITER/BLOGGER,የቴክኖሎጂ ጸሐፊ/ብሎገር,P,ICT and digital work,Software Design Development and Implementation Works
Teeth Technician,የጥርስ ቴክኒሻን,U,Health,Health
Telebirr & EVD Sales Representatives,ቴሌቢር እና ኢቪዲ የሽያጭ ተወካዮች,P,Business,"Telecommunication Equipment Retail Computer, Computer Accessories, Accessories & Accessories"
Telebirr agent recruiter,የቴሌቢር ወኪል ቀጣሪ,P,Service,Employment agencies and recruitment agencies
Telebirr Agent Support Service,ቴሌቢር ወኪል ድጋፍ አገልግሎት,P,Service,Other services
TeleBirr API integration developer,ቴሌቢር ኤፒአይ ውህደት ገንቢ,P,ICT and digital work,Software Design Development and Implementation Works
Telebirr API integration on the web and in a flutter application with a Node.js backend.,የቴሌቢር ኤፒአይ ውህደት በድር ላይ እና በ Node.js የጀርባ አፕሊኬሽን ውስጥ,P,ICT and digital work,Software Design Development and Implementation Works
Telebirr API integration with laravel backend on the web and flutter application,የቴሌቢር ኤፒአይ ውህደት በድር ላይ ካለው ላራቬል ጀርባ እና ፍሉተር መተግበሪያ,P,ICT and digital work,Software Design Development and Implementation Works
Telebirr api integration with website,የቴሌቢር ኤፒአይ ውህደት ከድር ጣቢያ ጋር,P,ICT and digital work,Software Design Development and Implementation Works
Telebirr Operation Support,የቴሌቢር ኦፕሬሽን ድጋፍ,P,Service,Other services
Telebirr payment integrator,የቴሌቢር ክፍያ ውህድ,P,ICT and digital work,Software Design Development and Implementation Works
Telecom Engineer,የቴሌኮም ኢንጂነር,P,Economic Infrastructure,ICT
Telecom Rigger,ቴሌኮም ሪገር,U,Economic Infrastructure,ICT
Telecom Rigger Technician,የቴሌኮም ሪገር ቴክኒሽያን,U,Economic Infrastructure,ICT
Telecom Shop Manager,የቴሌኮም ሱቅ አስተዳዳሪ,U,Business,"Telecommunication Equipment Retail Computer, Computer Accessories, Accessories & Accessories"
Telecom Survey & Design Engineer,የቴሌኮም ዳሰሳ እና ዲዛይን መሐንዲስ,P,Economic Infrastructure,ICT
Telecom Survey Design Engineer,የቴሌኮም ዳሰሳ ንድፍ መሐንዲስ,P,Economic Infrastructure,ICT
Telecommunication Technician,የቴሌኮሙኒኬሽን ቴክኒሻን,P,Economic Infrastructure,ICT
Telegram Bot & Application Expert,የቴሌግራም ቦት እና የመተግበሪያ ባለሙያ,P,ICT and digital work,Software Design Development and Implementation Works
Telegram channel /group promoter,የቴሌግራም ቻናል/የቡድን አስተዋዋቂ,U,Service,Advertising
Telegram channel admin,የቴሌግራም ቻናል አስተዳዳሪ,U,Service,Advertising
Telegram channel controller,የቴሌግራም ቻናል መቆጣጠሪያ,U,Service,Advertising
Telegram channel developer,የቴሌግራም ቻናል አዘጋጅ,U,ICT and digital work,Software Design Development and Implementation Works
Telegram scraping,ቴሌግራም መቧጨር,U,ICT and digital work,Database organization and data processing
Telemarketing manager,የቴሌማርኬቲንግ አስተዳዳሪ,P,Service,Advertising
Telemedicine,ቴሌ መድሐኒት,U,Health,Health
Telephone and online Truck Dispatcher,ስልክ እና የመስመር ላይ የጭነት መኪና አስተላላፊ,P,"Logistics, transportation and communication",Other supportive transportation services
Telephone Switchboard Operators,የስልክ መቀየሪያ ሰሌዳ ኦፕሬተሮች,P,Service,Other services
Teleport Tech,ቴሌፖርት ቴክ,U,Economic Infrastructure,ICT
Television advertisement media production,የቴሌቪዥን ማስታወቂያ ሚዲያ ምርት,P,Tourism and art,Motion Picture Works
Television Marketing promoter,የቴሌቪዥን ግብይት አራማጅ,P,Service,Advertising
Television News Reporter,የቴሌቪዥን ዜና ሪፖርተር,P,Sport Culture and tourism,Journalism
Television show Producer,የቴሌቪዥን ትርዒት ​​አዘጋጅ,P,Tourism and art,Motion Picture Works
Television Supervisor,የቴሌቪዥን ተቆጣጣሪ,P,Tourism and art,Motion Picture Works
Temenos Automation Engineer,ተሜኖስ አውቶሜሽን መሐንዲስ,P,ICT and digital work,Software Design Development and Implementation Works
Temporary Administration Assistant,ጊዜያዊ አስተዳደር ረዳት,P,Service,Accounting audit and adminstrative works
Temporary Data Encoder,ጊዜያዊ የውሂብ ኢንኮደር,P,Service,Accounting audit and adminstrative works
Tender & Contract Administration Manager,የጨረታ እና የኮንትራት አስተዳደር ሥራ አስኪያጅ,P,Service,Accounting audit and adminstrative works
Tender & Procurement department manager,የጨረታ እና ግዥ ክፍል ሥራ አስኪያጅ,P,Service,Accounting audit and adminstrative works
Tender & Project Engineer,ጨረታ እና ፕሮጀክት መሐንዲስ,P,Service,Engineering Consulting Service
Tender and Inquiry Officer,የጨረታ እና ጥያቄ ኦፊሰር,P,Service,Accounting audit and adminstrative works
Tender and procurement Engineer,ጨረታ እና ግዥ መሐንዲስ,P,Service,Engineering Consulting Service
Tender and sourcing officer,ጨረታ እና ምንጭ መኮንን,P,Service,Accounting audit and adminstrative works
Tender Customer Relationship Officer,የጨረታ የደንበኞች ግንኙነት ኦፊሰር,P,Service,Accounting audit and adminstrative works
Tender Followup officer,የጨረታ ክትትል ኦፊሰር,P,Service,Accounting audit and adminstrative works
Tender Manager,የጫረታ ባለሞያ,P,Service,Accounting audit and adminstrative works
Tender Preparation Officer,የጨረታ ዝግጅት ኦፊሰር,P,Service,Accounting audit and adminstrative works
Tender Specialist,የጨረታ ስፔሻሊስት,P,Service,Accounting audit and adminstrative works
Tender/Sourcing Expert,ጨረታ/ምንጭ ኤክስፐርት,P,Service,Accounting audit and adminstrative works
Tendering & Proposal Engineer,ጨረታ እና ፕሮፖዛል መሐንዲስ,P,Service,Engineering Consulting Service
Tendering And Project Evaluation Department Manager,የጨረታ እና የፕሮጀክት ግምገማ መምሪያ ሥራ አስኪያጅ,P,Service,Accounting audit and adminstrative works
TERMS OF REFERENCE FOR KELAFO FAMILY AND COMMUNITY EMPOWERMENT PROGRAM PHASE III TERMINAL EVALUATION IN SOMALI REGIONAL STATE KELAFO DISTRICT,በሶማሌ ክልል ቀላፎ ወረዳ የከላፎ ቤተሰብ እና ማህበረሰብ ማጎልበት ፕሮግራም የማጣቀሻ ውል 3ኛ ደረጃ የመጨረሻ ግምገማ,,Service,Social work services
Termux programmer,ተርሙክስ ፕሮግራመር,P,ICT and digital work,Software Design Development and Implementation Works
Territory Manager,የክልል አስተዳዳሪ,U,Business,Wholesale business in specialized stores
Territory Sales Manager,የግዛት ሽያጭ አስተዳዳሪ,U,Business,Wholesale business in specialized stores
Test Automation Engineer,አውቶሜሽን መሐንዲስን ሞክር,P,ICT and digital work,Software Design Development and Implementation Works
Test Engineer,የሙከራ መሐንዲስ,P,ICT and digital work,Software Design Development and Implementation Works
Text Marketer/Telemarketer,የጽሑፍ ገበያተኛ/ቴሌማርኬተር,P,Service,Advertising
Textile Engineer,የጨርቃጨርቅ መሐንዲስ,P,Industry Development,Textile
